1,91110114MA00AC8A7H,北京卯申商贸有限公司,盐及调味品批发,内资,沙河镇,沙河镇昌平路９７号５幢５１６室,沙河镇昌平路９７号５幢５１６室
2,911101147226653000,北京中石化井田工程建设有限公司,工程和技术研究和试验发展,有限责任公司（自然人投资或控股）,沙河镇,北京市昌平区沙河镇丰善村委会,北京市昌平区沙河镇丰善村委会
3,91110114MA01QFK168,北京中公未来教育科技有限公司,其他技术推广服务,有限责任公司（自然人独资）,小汤山镇,北京市昌平区未来科学城英才北三街１６号院１５号楼２单元４０１－６室,北京市昌平区未来科学城英才北三街１６号院１５号楼２单元４０１－６室
4,91110114553050040D,北京科博力工贸有限公司,其他人造板制造,其他有限责任公司,北七家镇,西沙各庄３４号,西沙各庄３４号
5,91110114787775909K,伊特克斯惰性气体系统（北京）有限公司,实验分析仪器制造,有限责任公司（自然人投资或控股）,沙河镇,北京市昌平区沙河镇昌平路９７号７幢４０９（昌平示范园）,科星西路１０６号院５号楼８层８０９
6,91110114MA006F5TXU,北京君紫优创基金管理有限公司,其他非公开募集证券投资基金,有限责任公司（自然人投资或控股）,沙河镇,沙河镇能源东路１号院１号楼３层３０５－１,沙河镇能源东路１号院１号楼３层３０５－１
7,1211010273512264XT,北京师范大学亚太实验学校,普通高中教育,有限责任公司（自然人独资）,北七家镇,北京市昌平区八仙庄,北京市昌平区八仙庄
8,91110000717825595Q,国网能源研究院有限公司 ,工程和技术研究和试验发展,有限责任公司（自然人投资或控股）,小汤山镇,北京市昌平区未来科技城滨河大道１８号Ａ栋三、四层,北京市昌平区未来科技城滨河大道１８号Ａ栋三、四层
9,91110114MA01AE1X7E,北京华中润贸易有限公司,金属及金属矿批发,有限责任公司（自然人独资）,沙河镇,站前路１１号３号楼８３２１室,站前路１１号３号楼８３２１室
10,91110114097178760B,北京远腾置业有限公司,房地产开发经营,有限责任公司（法人独资）,北七家镇,北京市昌平区未来科技城定泗路２３７号都市绿洲２１０,北京市昌平区未来科技城定泗路２３７号都市绿洲２１０
